ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Gloss_LaTeX
0,44,mū Háusā̀wā,mū	Háusā̀wā,we	Hausa,we Hausa,87,MORPHEME_ALIGNED,,newman2000[371],we Hausa
1,44,shī wannàn mālàmī,shī	wannàn	mālàmī,he	DEM.1	teacher,he (this) teacher,87,MORPHEME_ALIGNED,,newman2000[371],he \Dem{}.1 teacher
2,44,mū mā̀làmannàn,mū	mā̀làman-nàn,we	teacher-DEM.PROX,we these teachers,87,MORPHEME_ALIGNED,,newman2000[155],we teacher-\Dem.\Prox{}
3,45,war manaja nə,war	manaja	nə,3F	manager	DEF,"she, the manager",87,WORD_ALIGNED,,"frajzyngier1993[172, (154)]",3\F{} manager \Def{}
4,46,atén oo hhawató,atén	oo	hhawató,Pro1PL	ANAPH.M	men.LNK.M,we men,87,WORD_ALIGNED,,"harvey2018[163, (2.205)]",Pro1\Pl{} \Anaph.\M{} men.\Lnk.\M{}
5,47,na'óot Kambáatu,na'óot	Kambáat-u,1PL.NOM	Kambaata-M.NOM,we Kambaata (people),87,MORPHEME_ALIGNED,,"treis2008[335, (1097)]",1\Pl.\Nom{} Kambaata-\M.\Nom{}
6,48,ʔintu ʔittalamza tiħibbu ʔilliʕb,ʔintu	ʔit[-]talamza	tiħibbu	ʔilliʕb,you.PL	[DEF-]students	2PL.like	playing,You students like playing.,87,MORPHEME_ALIGNED,,"garygamal1982[80, (533)]",you.\Pl{} [\Def-]students 2\Pl{}.like playing
7,49,iHna TTullaab ma nigdar nigbal haadha lqaraar,iHna	T-Tullaab	ma	nigdar	nigbal	haadha	l-qaraar,we	DEF-students	not	1PL.be.able	1PL.accept	this	DEF-decision,We students cannot accept this decision,87,MORPHEME_ALIGNED,,"holes1990[165, (845)]",we \Def-students not 1\Pl.be.able 1\Pl.accept this \Def-decision
8,50,Intom ilħaddiema għandkom tingħaqdu,[Intom	il-ħaddiema]	għandkom	tingħaqdu,you	DEF-workers	have.2PL	unite.2PL,You workmen should unite together.,87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"borgazzopardialexander1997[202, (915)]",you \Def-workers have.2\Pl{} unite.2\Pl{}
9,4,ŋjḷa malamgaḷa gaŋiḷaṇi ṇawaḷayjñingan,ŋjḷa	malam-gaḷa	ga-ŋiḷa-ṇi	ṇa-waḷayjñin-gan,1PL.EXCL.NOM	man-PL.NOM	3-1PL.EXCL-sit	NLoc-shade,We men are sitting in the shade.,87,MORPHEME_ALIGNED,,merlan1989[103],1\Pl.\Excl.\Nom{} man-\Pl.\Nom{} 3-1\Pl.\Excl-sit NLoc-shade
10,5,ngayani wakali thananha nhayiyi,ngayani	waka-li	thananha	nhayi-yi,1PL.EXCL.NOM	small-ERG	3PL.ACC	see-PRS,We small (ones) watch them,87,MORPHEME_ALIGNED,,"austin2013[102, (106)]",1\Pl.\Excl.\Nom{} small-\Erg{} 3\Pl.\Acc{} see-\Prs{}
11,5,ngardanhi thanali nhinha yakalkayi yaruya wardayarilha yini pinarru,ngarda-nhi	thana-li	nhinha	yakalka-yi	yaru-ya	wardayari-lha	yini	pinarru,then-LOC	3PL.ERG	3SG.NF.ACC	ask-PRS	like-DEM.PROX	where-CHAR	2SG.NOM	old.man.NOM,"Then they asked him the following: ""Where are you from, old man?"" ",87,MORPHEME_ALIGNED,,"austin2013[119, (175)]",then-\Loc{} 3\Pl.\Erg{} 3\Sg.\Nf.\Acc{} ask-\Prs{} like-\Dem.\Prox{} where-\Char{} 2\Sg.\Nom{} old.man.\Nom
12,5,nhani mankarra thurarayi thananguya kinthalanhi,nhani	mankarra	thurara-yi	thana-ngu-ya	kinthala-nhi,3SG.F.NOM	girl.NOM	lie-PRS	3PL-LOC-PROX	dog-LOC,The girl is lying with those dogs,87,MORPHEME_ALIGNED,,"austin2013[150, (311)]",3\Sg.\F.\Nom{} girl.\Nom{} lie-\Prs{} 3\Pl-\Loc-\Prox{} dog-\Loc{}
13,6,ŋarka njanuŋu ka puḷami,ŋarka	njanuŋu	ka	puḷa-mi,man	3	PRS	shout-NPST,The aforementioned man is shouting,87,MORPHEME_ALIGNED,,"hale1973[316, (22)]",man 3 \Prs{} shout-\Npst{}
14,6,yapa ŋatju,yapa	ŋatju,person	1SG,I person,87,MORPHEME_ALIGNED,,hale1973[317],person 1\Sg{}
15,9,Minyma paluṟu ngayunya nyangu,Minyma	paluṟu	ngayu-nya	nya-ngu,woman	3SG.NOM	1SG.ACC	see-PST,The woman saw me.,87,MORPHEME_ALIGNED,,"bowe1990[31, (110)]",woman 3\Sg{}.\Nom{} 1\Sg{}.\Acc{} see-\Pst{}
16,9,Paluṟu wati nyara waṟangku mutaka palyanu,Paluṟu	wati	nyara	waṟa-ngku	mutaka	palya-nu,3SG.NOM	man	distant	tall-ERG	car	fix-PST,The tall man over there (in contrast to the other one) fixed the car.,87,MORPHEME_ALIGNED,,"bowe1990[34, (114)]",3\Sg{}.\Nom{} man distant tall-\Erg{} car fix-\Pst{}
17,10,Nyulu nhayun waarigan gaday waangguwunaarnay.,Nyulu	nhayun	waarigan	gada-y	waanggu=wunaarna-y.,3SG.NOM	that.ABS	moon.ABS	come-PST	sleep=lie+REDUP-PST,[Then] the Moon came and lay down to sleep.,87,MORPHEME_ALIGNED,,"haviland1979[157, (423)]",3\Sg.\Nom{} that.\Abs{} moon.\Abs{} come-\Pst{} sleep=lie+\Redup-\Pst
18,10,Bidha nyulu biini.,Bidha	nyulu	biini.,child.ABS	3SG.NOM	die.PST,The child died.,87,MORPHEME_ALIGNED,,"haviland1979[157, (424a)]",child.\Abs{} 3\Sg.\Nom{} die.\Pst{}
19,11,nyulu jalbu,nyulu	jalbu,3SG	woman,the woman,87,MORPHEME_ALIGNED,gloss extrapolated,patz2002[202],3\Sg{} woman
20,11,Yurra karrkay dungay bana mana!,Yurra	karrkay	dunga-y	bana	mana!,2PL.NOM(SARG)	child.ABS(SARG)	go-IMP	water.ABS(OBJ)	get.IMP,You children go and get water!,87,MORPHEME_ALIGNED,,"patz2002[203, (620)]",2\Pl{}.\Nom{}(\Sarg{}) child.\Abs{}(\Sarg{}) go-\Imp{} water.\Abs{}(\Obj{}) get.\Imp{}
21,11,Pastor nyulu…,Pastor	nyulu…,pastor	3SG,"Pastor, he…",87,MORPHEME_ALIGNED,gloss extrapolated,"patz2002[202, (611)]",pastor 3\Sg{}
22,11,Ngayu babi wilbuman yindu ngamu nganjin dungariny mayi bakanka.,Ngayu	babi	wilbuman	yindu	ngamu	nganjin	dunga-ri-ny	mayi	baka-nka.,1SG.NOM(SARG)	father's.mother.ABS(SARG)	old.woman.ABS(SARG)	other.ABS(SARG)	mother.ABS(SARG)	1PL.EXCL.NOM(SARG)	go-PL-PST	food.ABS(OBJ)	dig-PURP,"I, grandmother, another old woman and mother, we went out to dig for food (yams).",87,MORPHEME_ALIGNED,,"patz2002[203, (618)]",1\Sg{}.\Nom{}(\Sarg{}) father's.mother.\Abs{}(\Sarg) old.woman.\Abs{}(\Sarg{}) other.\Abs{}(\Sarg{}) mother.\Abs{}(\Sarg{}) 1\Pl{}.\Excl{}.\Nom{}(\Sarg{}) go-\Pl{}-\Pst{} food.\Abs{}(\Obj{}) dig-\Purp
23,12,niya jungarra dangkaa,niya	jungarra	dangkaa,he	big	man,the big man,87,WORD_ALIGNED,,evans1995[239],he big man
24,54,izaho vehivavy,izaho	vehivavy,1SG.DEF	woman,I woman,87,WORD_ALIGNED,,"paultravis2019[411, (6a)]",1\Sg.\Def{} woman
25,55,"kami, bangsa Indonesia","kami,	bangsa	Indonesia",we	people	Indonesia,"we, the people of Indonesia",87,WORD_ALIGNED,,sneddon1996[170],we people Indonesia
26,56,"de blang, a, om ko ini tra liat…","de	blang,	a,	om	ko	ini	tra	liat…",3SG	say	ah!	uncle	2SG	DEM.PROX	NEG	see,"he said, ""ah, you uncle there didnt see…"" ",87,WORD_ALIGNED,,"kluge2017[353, (66)]",3\Sg{} say ah! uncle 2\Sg{} \Dem.\Prox{} \Neg{} see
27,59,sεh pihin sεh čani uwεh kaman uwεh wεčε ake,sεh	pihin	sεh	čani	uwεh	kaman	uwεh	wεčε	ake,3PL	woman	3PL	clear	1PL.EXCL	man	1PL.EXCL	cut.down	tree,"The women clear, we men cut down the trees.",87,WORD_ALIGNED,,"hamel1994[90, (6)]",3\Pl{} woman 3\Pl{} clear 1\Pl.\Excl{} man 1\Pl.\Excl{} cut.down tree
28,59,iy amat iyɔ,iy	amat	iyɔ,3SG	man	DEM,this man,87,WORD_ALIGNED,,"hamel1994[100, (89)]",3\Sg{} man \Dem
29,60,sinitupatata,sinitu=pa-tata,person=DET-1PL.INCL,we people,87,MORPHEME_ALIGNED,,"gasser2014[144, (3.46)]",person=\Det{}-1\Pl{}.\Incl{}
