ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Walscode,ISOcodes
0,Japanese,Eurasia,35,135,nucl1643,,jpn,jpn
1,Korean,Eurasia,37.5,128,kore1280,,kor,kor
2,Evenki,Eurasia,61.972,94.689,even1259,,eve,evn
3,Turkish,Eurasia,39.8667,32.8667,nucl1301,,tur,tur
4,Mangarrayi,Australia,-14.8,133.5,mang1381,,myi,mpc
5,Diyari,Australia,-28.1667,138,dier1241,,diy,dif
6,Warlpiri,Australia,-20.1008,131.05,warl1254,,wrl,wbp
7,Yidiny,,-17.1332,145.876,yidi1250,,yid,yii
8,Bilinarra,Australia,-16.868771,130.533991,bili1250,,bnr,nbj
9,Pitjantjatjara,Australia,-26.9704,131.357,pitj1243,,pit,pjt
10,Guugu Yimidhirr,Australia,-14.9424,144.831,gugu1255,,guu,kky
11,Kuku-Yalanji,Australia,-16.0036,145.188,kuku1273,,kya,gvn
12,Kayardild,Australia,-17.0695,139.489,kaya1319,,kay,gyd
13,Kalamang,,-17.0695,,kara1499,,#N/A,kgv
14,Siroi,,-17.0695,,siri1273,,ssd,ssd
15,Menya,Papunesia,-7.17425,146.071,meny1245,,mey,mcr
16,Momu,Papunesia,-3.10868,141.64,fass1245,,fqs,fqs
17,Imonda,Papunesia,-3.31228,141.171,imon1245,,imo,imn
18,Bilua,Papunesia,-7.92388,156.663,bilu1245,,bil,blb
19,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,,lav,lvk
20,Moskona,Papunesia,-1.62201,133.145,mosk1236,,#N/A,mtj
21,Sougb,Papunesia,-1.49611,133.95,mani1235,,sgb,mnx
22,Hatam,Papunesia,-1.13531,134.037,hata1243,,hat,had
23,Maybrat,Papunesia,-1.3679,132.591,maib1239,,may,ayz
24,Urim,Papunesia,-3.58018,142.653,urim1252,,uri,uri
25,Yimas,,-4.71731,143.572,yima1243,,yim,yee
26,Savosavo,Papunesia,-9.12853,159.814,savo1255,,svs,svs
27,Manambu,Papunesia,-4.19082,142.862,mana1298,,mbu,mle
28,Awtuw,Papunesia,-3.53129,141.928,awtu1239,,awt,kmn
29,Alamblak,Papunesia,-4.66307,143.316,alam1246,,ala,amp
30,Fore,Papunesia,-6.64473,145.5065,fore1270,,for,for
31,Hua,Papunesia,-6.353409,145.339379,huaa1250,,hua,
32,Yagaria,Papunesia,-6.32432,145.388,yaga1260,,ygr,ygr
33,Amele,Papunesia,-5.29126,145.687,amel1241,,ame,aey
34,Kobon,Papunesia,-5.16446,144.46,kobo1249,,kob,kpw
35,Usan,Papunesia,-4.84265,145.362,usan1239,,usa,wnu
36,Adang,Papunesia,-8.18958,124.448,adan1251,,adg,adn
37,Kaera,Papunesia,-8.3287,124.0177,kaer1234,,#N/A,jka
38,Kamang,Papunesia,-8.26897,124.792,kama1365,,woi,woi
39,Sawila,Papunesia,-8.29105,125.078,sawi1256,,#N/A,swt
40,Wersing,Papunesia,-8.33936,124.932,wers1238,,kln,kvw
41,Western Pantar,Papunesia,-8.52787,124.057,lamm1241,,#N/A,lev
42,Teiwa,Papunesia,-8.37662,124.174,teiw1235,,#N/A,twe
43,Komnzo,Papunesia,-8.64917,141.52,wara1294,,#N/A,tci
44,Hausa,Africa,11.1513,8.7804,haus1257,,hau,hau
45,Mupun,Africa,9.47205,8.96522,mwag1236,,mup,sur
46,Gorwaa,Africa,-4.23575,35.7996,goro1270,,gor,gow
47,Kambaata,Africa,7.37582,37.9088,kamb1316,,#N/A,ktb
48,Cairene Egyptian Colloquial Arabic,Africa,31,31,egyp1253,,aeg,arz
49,Gulf Arabic,Eurasia,30.17,47.5,gulf1241,,arg,afb
50,Maltese,Eurasia,35.8884,14.4508,malt1254,,mlt,mlt
51,Mi’kmaq,North America,45.9941,-65.5766,mikm1235,,mic,mic
52,Katu,Eurasia,15.8553,107.644,nucl1297,,ktu,ktv;kuf
53,Ulithian,,15.8553,,ulit1238,,uli,uli
54,Malagasy,Africa,-19.59,47.12,mala1537,,mal,mlg
55,Indonesian,Papunesia,-19.59,,stin1234,,ind,ind
56,Papuan Malay,Papunesia,-2.53482,139.651,papu1250,,iir,pmy
57,Madurese,Papunesia,-7,113,nucl1460,,mdr,mad
58,Standard Fijian,Papunesia,-18,178.33,fiji1243,,fij,fij
59,Loniu,Papunesia,-2.06124,147.35,loni1238,,lon,los
60,Windesi Wamesa (Wandamen),Papunesia,-2.25622,133.996,wame1241,,#N/A,wad
61,Maori,Papunesia,-38.2881,176.541,maor1246,,mao,mri
62,Tuvaluan,Papunesia,-8.520813,179.198088,tuva1244,,tvl,tvl
63,Kwaio,Papunesia,-8.93744,160.965,kwai1243,,kwa,kwd
64,Arop-Lokep,Papunesia,-5.31671,147.103,arop1243,,alk,apr
65,Cheke Holo,Papunesia,-8.27055,159.625,chek1238,,ckh,mrn
66,Hoava,Papunesia,-8.19679,157.595,hoav1238,,hoa,hoa
67,Kokota,Papunesia,-8.16481,159.191,koko1269,,kkt,kkk
68,Rapanui,Papunesia,-27.113,-109.342,rapa1244,,rap,rap
69,Vaeakau-Taumako,Papunesia,-10.173335,166.247188,pile1238,,pil,piv
70,Hixkaryana,South America,-0.16265,-58.80153,hixk1239,,hix,hix
71,Wari',South America,-10.69948,-64.56152,wari1268,,war,pav
72,Chitimacha,North America,30.3386,-90.9123,chit1248,,ctm,ctm
73,Ndyuka,South America,4.3126,-54.6419,ndyu1242,,ndy,djk
74,Nigerian Pidgin,Africa,9.65873,4.21068,nige1257,,npi,pcm
75,Kristang,Papunesia,2.188087,102.262059,mala1533,,mlc,mcm
76,Kannada,Eurasia,13.5878,76.1198,nucl1305,,knd,kan
77,Malayalam,Eurasia,9.59208,76.7651,mala1464,,mym,mal
78,Tamil,Eurasia,10.520219,78.825989,tami1289,,tml,tam
79,West Greenlandic (Kalaallisut),North America,69.3761,-52.864,kala1399,,grw,kal
80,Welsh,Eurasia,52,-4,wels1247,,wel,cym
81,Danish,Eurasia,54.8655,9.36284,dani1285,,dsh,dan
82,Icelandic,Eurasia,63.4837,-19.0212,icel1247,,ice,isl
83,Norwegian,Eurasia,61,8,norw1258,,nor,nno;nob;nor
84,Swedish,Eurasia,59.800634,17.389526,swed1254,,swe,swe
85,Afrikaans,Africa,-22,30,afri1274,,afr,afr
86,Dutch,Eurasia,52,5,dutc1256,,dut,nld
87,English,Eurasia,53,-1,stan1293,,eng,eng
88,German,Eurasia,52,10,stan1295,,ger,deu
89,Calabrian Greek,Eurasia,38.0166,15.88621,aspr1238,,#N/A,
90,Greek,Eurasia,38.36,23.13,mode1248,,grk,ell
91,Kashmiri,Eurasia,34.166825,74.330455,kash1277,,kas,kas
92,Marathi,Eurasia,17.9344,76.6665,mara1378,,mhi,mar
93,Punjabi,Eurasia,30.0368,75.6702,panj1256,,pan,pan;pnb
94,Persian,Eurasia,32.9,53.3,west2369,,prs,pes
95,Aromanian,Eurasia,40.616,21.2,arom1237,,#N/A,rup
96,Romanian,Eurasia,46.3913,24.2256,roma1327,,rom,ron
97,Catalan,Eurasia,41.453,1.569,stan1289,,ctl,cat
98,Galician,Eurasia,42.2446,-7.5343,gali1258,,glc,glg
99,Portuguese,Eurasia,39.91,-8.1,port1283,,por,por
100,Spanish,Eurasia,40.4414,-1.11788,stan1288,,spa,spa
101,Italian,Eurasia,43.0464,12.6489,ital1282,,ita,ita
102,Northern Calabrian,Eurasia,39.45,15.55,nort2612,,#N/A,nap
103,Southern Calabrian,Eurasia,37.56,15.55,sout2616,,#N/A,scn
104,Russian,Eurasia,59,50,russ1263,,rus,rus
105,Bulgarian,Eurasia,43.3646,25.047,bulg1262,,bul,bul
106,Macedonian,Eurasia,41.5957,21.7932,mace1250,,mcd,mkd
107,Pomak,Eurasia,41.8,25.43,poma1238,,#N/A,
108,Serbocroatian,Eurasia,42,19,sout1528,,scr,hbs
109,Slovenian,Eurasia,46.2543,14.7766,slov1268,,slo,slv
110,Polish,Eurasia,51.8439,18.6255,poli1260,,pol,pol
111,Basque,Eurasia,43.2787,-1.31622,basq1248,,bsq,eus
112,Khoekhoe (Nama),Africa,-25.0747,17.9767,nama1264,,kho,naq
113,Khwe/Kxoe,Africa,-16.59051,22.599835,kxoe1243,,kxo,xuu
