ID,Name,Description,ColumnSpec
verb_object_order,verb object order,dominant verb-object order,
verb_object_order_wals,verb object order wals,dominant verb-object order as provided by WALS-83A,
adposition_order,adposition order,dominant order of adpositions relative to nominal complement,
adposition_order_wals,adposition order wals,dominant order of adpositions relative to nominal complement as provided by WALS-85A,
genitive_order,genitive order,dominant order of genitive modifiers relative to nominal head,
genitive_order_wals,genitive order wals,dominant order of genitive modifiers relative to nominal head as provided by WALS-86A,
demonstrative_order,demonstrative order,dominant order of demonstrative modifiers relative to nominal head,
demonstrative_order_wals,demonstrative order wals,dominant order of demonstrative modifiers relative to nominal head as provided by WALS-88A,
article_distinct_third,article distinct third,presence/absence of a definite article that is distinct from a third person pronoun,
demonstrative_as_third,demonstrative as third,marks whether the language has a third person pronoun that is distinct from a demonstrative pronoun,
nominal_person,nominal person,"Indicates whether an expression of nominal person is attested for the language; intended as a shorthand to identify languages with any expression of nominal person, equivalent to finding entries with explicit values in apc_order and either NULL or False values in bound_person_order",
APC_order,APC order,"relative order of an adnominal pronoun in an adnominal pronoun construction (APC, 'we linguists') relative to the remaining nominal expression",
bound_person_order,bound person order,relative order of a bound person marker in an bound person construction (e.g. in Khoekhoe/Nama) relative to the remaining nominal expression,
person_allowed,person allowed,"restrictions on grammatical persons occurring adnominally; contains question marks in cases where sources are suggestive, but not entirely specific (if a more clear-cut dataset is desired, check person_third_available)",
person_third_available,person third available,"availability of third person adnominal person marking; contains question marks in cases where sources are suggestive, but not entirely specific",
number_allowed,number allowed,restrictions on number marking in adnominal person,
PPDC,PPDC,"person/pronoun-demonstrative construction, availability of demonstratives co-occurring in expressions with adnominal person marking",
