ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Examples
0,0,verb_object_order,OV,verb_object_orderOV,,,
1,0,verb_object_order_wals,OV,verb_object_order_walsOV,,,
2,0,adposition_order,post,adposition_orderpost,,,
3,0,adposition_order_wals,Postpositions,adposition_order_walsPostpositions,,,
4,0,genitive_order,GenN,genitive_orderGenN,,,
5,0,genitive_order_wals,Genitive-Noun,genitive_order_walsGenitive-Noun,,,
6,0,demonstrative_order,DemN,demonstrative_orderDemN,,,
7,0,demonstrative_order_wals,Demonstrative-Noun,demonstrative_order_walsDemonstrative-Noun,,,
8,0,article_distinct_third,n,article_distinct_thirdn,,,
9,0,demonstrative_as_third,n,demonstrative_as_thirdn,,,
10,0,nominal_person,y,nominal_persony,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
11,0,APC_order,pre,APC_orderpre,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
12,0,bound_person_order,n,bound_person_ordern,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
13,0,person_allowed,all,person_allowedall,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
14,0,person_third_available,y,person_third_availabley,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
15,0,number_allowed,non-sg,number_allowednon-sg,,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009",141
16,0,PPDC,y_nn,PPDCy_nn,,coulmas1982[214];noguchi1997[777];furuya2008[153],
17,1,verb_object_order,OV,verb_object_orderOV,,,
18,1,verb_object_order_wals,OV,verb_object_order_walsOV,,,
19,1,adposition_order,post,adposition_orderpost,,,
20,1,adposition_order_wals,Postpositions,adposition_order_walsPostpositions,,,
21,1,genitive_order,GenN,genitive_orderGenN,,,
22,1,genitive_order_wals,Genitive-Noun,genitive_order_walsGenitive-Noun,,,
23,1,demonstrative_order,DemN,demonstrative_orderDemN,,,
24,1,demonstrative_order_wals,Demonstrative-Noun,demonstrative_order_walsDemonstrative-Noun,,,
25,1,article_distinct_third,n,article_distinct_thirdn,,,
26,1,demonstrative_as_third,n,demonstrative_as_thirdn,,,
27,1,nominal_person,y,nominal_persony,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
28,1,APC_order,pre,APC_orderpre,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
29,1,bound_person_order,n,bound_person_ordern,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
30,1,person_allowed,all,person_allowedall,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
31,1,person_third_available,y,person_third_availabley,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
32,1,number_allowed,non-sg,number_allowednon-sg,,"sohn1994[284, 292];choi2014phd[151-154]",142;143;157
33,1,PPDC,y_nn,PPDCy_nn,,sohn1994[281],
34,2,verb_object_order,OV,verb_object_orderOV,,,
35,2,verb_object_order_wals,OV,verb_object_order_walsOV,,,
36,2,adposition_order,post,adposition_orderpost,,,
37,2,adposition_order_wals,Postpositions,adposition_order_walsPostpositions,,,
38,2,genitive_order,GenN,genitive_orderGenN,,,
39,2,genitive_order_wals,Genitive-Noun,genitive_order_walsGenitive-Noun,,,
40,2,demonstrative_order,DemN,demonstrative_orderDemN,,,
41,2,demonstrative_order_wals,Demonstrative-Noun,demonstrative_order_walsDemonstrative-Noun,,,
42,2,article_distinct_third,n,article_distinct_thirdn,,,
43,2,demonstrative_as_third,n,demonstrative_as_thirdn,,,
44,2,nominal_person,y,nominal_persony,,"nedjalkov1997[197, 199]",138
45,2,APC_order,pre,APC_orderpre,,"nedjalkov1997[197, 199]",138
46,2,bound_person_order,n,bound_person_ordern,,"nedjalkov1997[197, 199]",138
47,2,person_allowed,all,person_allowedall,,"nedjalkov1997[197, 199]",138
48,2,person_third_available,y,person_third_availabley,,"nedjalkov1997[197, 199]",138
49,2,number_allowed,all,number_allowedall,,"nedjalkov1997[197, 199]",138
51,3,verb_object_order,OV,verb_object_orderOV,,,
52,3,verb_object_order_wals,OV,verb_object_order_walsOV,,,
53,3,adposition_order,post,adposition_orderpost,,,
54,3,adposition_order_wals,Postpositions,adposition_order_walsPostpositions,,,
55,3,genitive_order,GenN,genitive_orderGenN,,,
56,3,genitive_order_wals,Genitive-Noun,genitive_order_walsGenitive-Noun,,,
57,3,demonstrative_order,DemN,demonstrative_orderDemN,,,
58,3,demonstrative_order_wals,Demonstrative-Noun,demonstrative_order_walsDemonstrative-Noun,,,
59,3,article_distinct_third,n,article_distinct_thirdn,,,
60,3,demonstrative_as_third,y,demonstrative_as_thirdy,,,
61,3,nominal_person,y,nominal_persony,,"kornfilt1997[288, 297f.]",147
