ID,Language_Name,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Source,Meta_Language_ID,LGR_Conformance,Comment,Gloss_LaTeX
0,Hausa,haus1257,mū Háusā̀wā,mū Háusā̀wā,we Hausa,we Hausa,newman2000[371],stan1293,MORPHEME_ALIGNED,,we Hausa
1,Hausa,haus1257,shī wannàn mālàmī,shī wannàn mālàmī,he DEM.1 teacher,he (this) teacher,newman2000[371],stan1293,MORPHEME_ALIGNED,,he \Dem{}.1 teacher
2,Hausa,haus1257,mū mā̀làmannàn,mū mā̀làman-nàn,we teacher-DEM.PROX,we these teachers,newman2000[155],stan1293,MORPHEME_ALIGNED,,we teacher-\Dem.\Prox{}
3,Mupun,mwag1236,war manaja nə,war manaja nə,3F manager DEF,"she, the manager","frajzyngier1993[172, (154)]",stan1293,WORD_ALIGNED,,3\F{} manager \Def{}
4,Gorwaa,goro1270,atén oo hhawató,atén oo hhawató,Pro1PL ANAPH.M men.LNK.M,we men,"harvey2018[163, (2.205)]",stan1293,WORD_ALIGNED,,Pro1\Pl{} \Anaph.\M{} men.\Lnk.\M{}
5,Kambaata,kamb1316,na'óot Kambáatu,na'óot Kambáat-u,1PL.NOM Kambaata-M.NOM,we Kambaata (people),"treis2008[335, (1097)]",stan1293,MORPHEME_ALIGNED,,1\Pl.\Nom{} Kambaata-\M.\Nom{}
6,Cairene Egyptian Colloquial Arabic,egyp1253,ʔintu ʔittalamza tiħibbu ʔilliʕb,ʔintu ʔit[-]talamza tiħibbu ʔilliʕb,you.PL [DEF-]students 2PL.like playing,You students like playing.,"garygamal1982[80, (533)]",stan1293,MORPHEME_ALIGNED,,you.\Pl{} [\Def-]students 2\Pl{}.like playing
7,Gulf Arabic,gulf1241,iHna TTullaab ma nigdar nigbal haadha lqaraar,iHna T-Tullaab ma nigdar nigbal haadha l-qaraar,we DEF-students not 1PL.be.able 1PL.accept this DEF-decision,We students cannot accept this decision,"holes1990[165, (845)]",stan1293,MORPHEME_ALIGNED,,we \Def-students not 1\Pl.be.able 1\Pl.accept this \Def-decision
8,Maltese,malt1254,Intom ilħaddiema għandkom tingħaqdu,[Intom il-ħaddiema] għandkom tingħaqdu,you DEF-workers have.2PL unite.2PL,You workmen should unite together.,"borgazzopardialexander1997[202, (915)]",stan1293,MORPHEME_ALIGNED,,you \Def-workers have.2\Pl{} unite.2\Pl{}
9,Mangarrayi,mang1381,ŋjḷa malamgaḷa gaŋiḷaṇi ṇawaḷayjñingan,ŋjḷa malam-gaḷa ga-ŋiḷa-ṇi ṇa-waḷayjñin-gan,1PL.EXCL.NOM man-PL.NOM 3-1PL.EXCL-sit NLoc-shade,We men are sitting in the shade.,merlan1989[103],stan1293,MORPHEME_ALIGNED,,1\Pl.\Excl.\Nom{} man-\Pl.\Nom{} 3-1\Pl.\Excl-sit NLoc-shade
10,Diyari,dier1241,ngayani wakali thananha nhayiyi,ngayani waka-li thananha nhayi-yi,1PL.EXCL.NOM small-ERG 3PL.ACC see-PRS,We small (ones) watch them,"austin2013[102, (106)]",stan1293,MORPHEME_ALIGNED,,1\Pl.\Excl.\Nom{} small-\Erg{} 3\Pl.\Acc{} see-\Prs{}
11,Diyari,dier1241,ngardanhi thanali nhinha yakalkayi yaruya wardayarilha yini pinarru,ngarda-nhi thana-li nhinha yakalka-yi yaru-ya wardayari-lha yini pinarru,then-LOC 3PL.ERG 3SG.NF.ACC ask-PRS like-DEM.PROX where-CHAR 2SG.NOM old.man.NOM,"Then they asked him the following: ""Where are you from, old man?"" ","austin2013[119, (175)]",stan1293,MORPHEME_ALIGNED,,then-\Loc{} 3\Pl.\Erg{} 3\Sg.\Nf.\Acc{} ask-\Prs{} like-\Dem.\Prox{} where-\Char{} 2\Sg.\Nom{} old.man.\Nom
12,Diyari,dier1241,nhani mankarra thurarayi thananguya kinthalanhi,nhani mankarra thurara-yi thana-ngu-ya kinthala-nhi,3SG.F.NOM girl.NOM lie-PRS 3PL-LOC-PROX dog-LOC,The girl is lying with those dogs,"austin2013[150, (311)]",stan1293,MORPHEME_ALIGNED,,3\Sg.\F.\Nom{} girl.\Nom{} lie-\Prs{} 3\Pl-\Loc-\Prox{} dog-\Loc{}
13,Warlpiri,warl1254,ŋarka njanuŋu ka puḷami,ŋarka njanuŋu ka puḷa-mi,man 3 PRS shout-NPST,The aforementioned man is shouting,"hale1973[316, (22)]",stan1293,MORPHEME_ALIGNED,,man 3 \Prs{} shout-\Npst{}
14,Warlpiri,warl1254,yapa ŋatju,yapa ŋatju,person 1SG,I person,hale1973[317],stan1293,MORPHEME_ALIGNED,,person 1\Sg{}
15,Pitjantjatjara,pitj1243,Minyma paluṟu ngayunya nyangu,Minyma paluṟu ngayu-nya nya-ngu,woman 3SG.NOM 1SG.ACC see-PST,The woman saw me.,"bowe1990[31, (110)]",stan1293,MORPHEME_ALIGNED,,woman 3\Sg{}.\Nom{} 1\Sg{}.\Acc{} see-\Pst{}
