,lang_name,iso639_3,glottocode,walscode,printname,Oc.printname,P3.printname,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,P3.hjust,P3.vjust,coord_notes,print,sort_affiliation,family_genus,genus_wals,genus.print,genus.rough,sclass.long,area.specific,area,area_glottolog,area_wals,refs,lang_comment,ref2,"elicited, pc etc.",include,Morph. Case,NP concord,WO,verb_object_order_wals,WO.WALS.,verb_object_order,WO.complex,adpos.dir,adposition_order_wals,adpos.WALS.sourced,adposition_order,adpositions (tendency),genitive.detail,genitive_order_wals,genitive.WALS.sourced,genitive_order,pro drop,NP order,"DemOrder (WALS clearly has the wrong value according to the citation there, Palmer 2002:503)",DemOrder.simple,demonstrative_order_wals,DemOrder.WALS.sourced,demonstrative_order,Dem. compat.APCdir,definite_article,article_distinct_third,article_order,demonstrative_as_third,third.Dem.complex,demonstrative_w_article,"Demtype (Dist., Pers/Dist)",Dem+Proper,Art+Proper,nominal_person,APC.complex,APC,APC_order,bound_person_order,boundPers.withAPC,person_allowed,person_third_available,number_allowed,person_complex,number_complex,N-Pron,Pron-N,APC+Proper,nominal_person_w_article,APC with def marker,unagreement,Pron-Num,full pronoun,affix,PronNum.non-suppletive,Pron.Num=N-Num,Pron.case=N.case,Modify pron by adj,Dem pron=adnom,Dempron restrictions,3rd=Dem.complex,Def by Dem,Def by 3rd pron,Pron+Dem,PPDC,PPDC_comment,PPDC_ref,Pron>Dem,Dem>Pron,“optional” number marking in NP,assoc. plural,V agr,we + X,inclusory pronoun construction,COMMENTS,PostP+preAPC,refs_bib,PPDC_refs_bib
0,Japanese,jpn,nucl1643,jpn,Japanese,Japanese,Japanese,35.0,135.0,0.6,1.6,-0.1,0.5,0.6,1.6,,1.0,(Altaic?) Isolate,Japonic,Japanese,Japanese,Japonic,(Altaic?) Isolate,"Asia, East",Asia,Eurasia,Eurasia,"(Q) Hinds 1988:254, 261; Noguchi 1997:780; Furuya 2008:sec. 3.2; Inokuma 2009",,,Yasu Sudo (p.c.),y,y,n,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,radical,N-final,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"3, pers [or four, counting the indefinite as seems to be std. practice]",,,y,y,y,pre,n,,all,y,non-sg,all (contradiction between Hinds („this construction does not occur with second or third person reference“) and Noguchi/Furuya/Inokuma),non-sg,n?,y,,,,n,y,y,n,,,,y,,,n,y,n?,y,y_nn,possibly no over nount,"Coulmas 1982:214, Noguchi 1997:777, Furuya 2008:153",n?,y,y,y,n,,,,y,"hinds1988[254, 261];noguchi1997[780];furuya2008[sec. 3.2];inokuma2009","coulmas1982[214, Noguchi 1997:777, Furuya 2008:153]"
1,Korean,kor,kore1280,kor,Korean,Korean,Korean,37.5,128.0,0.4,-0.8,0.0,-0.7,0.4,-0.8,,1.0,(Altaic?) Isolate,Koreanic,Korean,Korean,Koreanic,(Altaic?) Isolate,"Asia, East",Asia,Eurasia,Eurasia,"(Q) Sohn 1994:284, 292; Choi 2014: 151-154",,,,y,,n,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,radical,N-final,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"3, pers  [or four, counting the indefinite as seems to be std. practice]",,,y,y,y,pre,n,,all,y,non-sg,"all (+12, ?3)",non-sg,n?,y,,,,n,,y,n,,,,y,,,n (but Dem used in pronouns),y,,y,y_nn,no overt noun (Jaehoon Choi p.c.),Sohn 1994:281,n?,y,y,y,n,,,,y,"sohn1994[284, 292];choi2014[151-154]",sohn1994[281]
2,Evenki,evn,even1259,eve,Evenki,Evenki,Evenki,61.972,94.689,0.5,-0.8,0.5,-0.7,0.5,-0.8,,1.0,(Altaic?) Tungusic,Tungusic,Tungusic,Tungusic,Tungusic,(Altaic?) Tungusic,"Asia, Central",Asia,Eurasia,Eurasia,"(Q) Nedjalkov 1997:197, 199",,,,y,y,y,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,no,N-final (Dem Q Poss Adj N),Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"2, dist",,,y,y (rare),y,pre,n,,all,y,all,all,all,n,y,,,NA (but differential object marking?),,,,n,,,,,,,(y) there actually are separate third pronouns,,,,,,,,,n,y (-jA),,,,,y,"nedjalkov1997[197, 199]",
3,Turkish,tur,nucl1301,tur,Turkish,Turkish,Turkish,39.8667,32.8667,-0.1,1.5,0.0,1.5,0.0,1.5,,1.0,(Altaic?) Turkic,Turkic,Turkic,Turkic,Turkic,(Altaic?) Turkic,"Asia, West",Asia,Eurasia,Eurasia,"(Q) Kornfilt 1997:288, 297f.",,,,y,y,one final marker,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,agree (and radical?),N-final (Dem – RC – Q – Adj – indef art – N),Dem N,Dem N,DemN,1.0,DemN,y,n,n,,y,y,,"3, dist",,,y,y,y,pre,n,,all,y,non-sg,"all (3=dem, but explicit claim that „does not occur with the third person“)",non-sg,n,y,,,,n (possibly Quantifiers),y (with possessive marking),,n,,,,,,,y (third degree dem),y,(y),,,,,,,n,,y,y,,,y,"kornfilt1997[288, 297f.]",
4,Mangarrayi,mpc,mang1381,myi,Mangarayi,Mangarayi,Mangarayi,-14.8,133.5,1.1,0.5,1.15,0.5,1.1,0.5,"glottolog 4.1 longitude shifted, use glottolog 4.0 coords",1.0,"(Australian) Mangarrayi-Maran, Mangarrayi","Mangarrayi-Maran, Mangarrayi",Mangarrayi,Mangarrayi,Gunwingguan,"(Australian) Gunwingguan, Mangarayic","Oceania, Australia",Australia,Australia,Australia,"(Q) Merlan 1989 [1982]: 103, 203",,,,y,y,y,OV,OV,1.0,OV,OV/OVS? (generally free/discourse prominent),post,pre,1.0,pre,"(post if allative etc count; adverbials precede, but apparently no real adpositions)",,NoDom,1.0,NoDom,agree,Dem N,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,y,y,,"2, dist",,,y,y,y,pre,n,,all,y,non-sg,all (3=dem),non-sg,n?,y,,,,,,,n,,,,,,,y,y,,,,,,,,y (esp. inanimate),"y (on pronouns at least, using -yan)",pron. clitics (non-singular rarer with inanimates),,,"Dem order, p. 29?",,"merlan1989[1982][103, 203]",
5,Diyari,dif,dier1241,diy,Diyari,Diyari,Diyari,-28.1667,138.0,-0.2,0.5,0.5,-0.7,-0.2,0.5,,1.0,"(Australian) Pama-Nyungan, Karna","Pama-Nyungan, Karna",Central Pama-Nyungan,Central Pama-Nyungan,Pama-Nyungan,"(Australian) Pama-Nyungan, Karna","Oceania, Australia",Australia,Australia,Australia,"Austin 1981:97f.; Austin 2013:102f. (106), 119 (175), 150 (311)",,,,y,y (NP final),"with split, otherwise NP-final",OV,OV,1.0,OV,"SOV, discourse prominent",post,,0.0,unclear,unclear (post?),,GenN,1.0,GenN,,Pron/Dem N A,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"3-4, dist",,,y,y,y,pre,n,,unclear,y,all,"unclear +3,?12",all,n,y,n,,,no info,,,n,,,,,,,n (but optional deictic suffixes on 3 pron),(n),y,y,y_nn,unclear if possible with lexical noun,"Austin 1981:61, (36)",,,,,,,y (cf. Austin 1982),proper names cannot be preceded by pronoun,,"austin1981[97f.];austin2013[102f. (106), 119 (175), 150 (311)]","austin1981[61, (36)]"
6,Warlpiri,wbp,warl1254,wrl,Warlpiri,Warlpiri,Warlpiri,-20.1008,131.05,1.2,0.5,1.15,0.5,1.15,0.8,,1.0,"(Australian) Pama-Nyungan, Ngarrkic","Pama-Nyungan, Desert Nyungic",Western Pama-Nyungan,Western Pama-Nyungan,Pama-Nyungan,"(Australian) Pama-Nyungan, Ngarrkic","Oceania, Australia",Australia,Australia,Australia,Reece 1970: 70; Hale 1973: 316f.,,,,y,y (NP final),with split,OV,No dominant order,1.0,NC,"SOV, discourse prominent",post,,0.0,post,post (grambank also treats case markers as postpositions here),,,0.0,GenN,agree?,N Det,N Dem,N Dem,,0.0,NDem,y,n,n,,n,n,,"4, dist (first 2 degrees dist/pers)",,,y,y (rare?),y,post,n,,all,y,all,all,all,y,?,y (njanungu/njanangu),,,y (also with 12Dems),and ,,n,,,,,,,n,(n),y,,,,,,,,,not quite (pronominal clitics),,,demonstratives as 1/2 determiners,,reece1970[70];hale1973[316f.],
7,Yidiny,yii,yidi1250,yid,Yidiny,Yidiny,Yidiny,-17.1332,145.876,0.5,-0.7,0.5,-0.7,0.5,-0.7,,1.0,"(Australian) Pama-Nyungan, Ngumbin","Pama-Nyungan, Desert Nyungic",Northern Pama-Nyungan,,Pama-Nyungan,"(Australian) Pama-Nyungan, Ngumbin","Oceania, Australia",Australia,,Australia,Dixon 1977,,,,n,,,,OV,1.0,OV,,,NoAdpos,1.0,NoAdpos,,,GenN,1.0,GenN,,,,,mixed,1.0,mixed,y,,,,,,,,,,no info,no info,no info,,n,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,dixon1977,
8,Bilinarra,nbj,bili1250,bnr,Bilinarra,Bilinarra,Bilinarra,-16.868771,130.533991,0.5,-0.7,0.5,-0.7,0.5,-0.7,,0.0,"(Australian) Pama-Nyungan, Ngumpin-Yapa","Pama-Nyungan, Desert Nyungic",Western Pama-Nyungan,,Pama-Nyungan,"(Australian) Pama-Nyungan, Ngumpin-Yapa","Oceania, Australia",Australia,Australia,Australia,Meakins&Nordlinger 2014,,,,n,y,y,discourse prominent,,,,discourse prominent,post,,,,post,,NoDom,1.0,NoDom,depends on classification of bound pronouns?,Dem N (Dem),Dem N/N Dem,both,DemN,1.0,DemN,n,n,n,,,n,,"2, dist",,,no info,no info,no info,,n,,,,,,,,,,,,y,,,n,,,,,,,n,y,no info,no info,,,,,,y,,pron.clitics,,,,,meakinsnordlinger2014,
9,Pitjantjatjara,pjt,pitj1243,pit,Pitjantjatjara,Pitjantjatjara,Pitjantjatjara,-26.9704,131.357,0.9,1.6,0.5,-0.8,0.9,1.6,,1.0,"(Australian) Pama-Nyungan, Wati, Western Desert","Pama-Nyungan, Desert Nyungic",Western Pama-Nyungan,Western Pama-Nyungan,Pama-Nyungan,"(Australian) Pama-Nyungan, Wati","Oceania, Australia",Australia,Australia,Australia,Bowe 1990:49-51,,,,y,y (NP final),with split,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,agree? (1/2 require pronoun or DS/SS marking in subordinate clauses),"N Dem A (Dem N A – contrastive? compatible with extra postnom Dem, N-case Dem – def marking; in apposition?)",N Dem (Dem N marked),both,NDem,1.0,NDem,y,n,n,,n,n,,"3, dist?; 1 anaphoric",,,y,y,y,both,n,,all?,y,all?,"all? (+3, ?12)",all? (+sg),y,y (appositive),,,,,,,n,,,,,,,n?,y,y (esp. postnominal),y (only special 3sg form),y,,Bowe 1990:48-51,y,y?,,,optional 2nd positition clitics,,,overt pronoun along with clitic is contrastive; interesting discussion of NP structure,y (ambi),bowe1990[49-51],bowe1990[48-51]
